,question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at,correct_flag,question_flag,accuracy
44,q47,b47,e47,d,1,4;2;179;183,1.51456E+12,156,218,0.71559633
45,q48,b48,e48,d,1,6;7;184,1.51456E+12,174,381,0.456692913
46,q49,b49,e49,c,1,6;7;179;183,1.51456E+12,195,288,0.677083333
47,q51,b51,e51,c,1,14;2;181,1.51456E+12,143,169,0.846153846
48,q52,b52,e52,b,1,22;2;182,1.51456E+12,292,326,0.895705521
49,q53,b53,e53,c,1,19;2;183,1.51456E+12,674,952,0.707983193
50,q54,b54,e54,b,1,9;2;179;184,1.51456E+12,247,574,0.430313589
51,q55,b55,e55,d,1,6;7;181,1.51456E+12,178,304,0.585526316
52,q56,b56,e56,c,1,15;2;179;182,1.51456E+12,575,956,0.601464435
53,q57,b57,e57,a,1,20;21;179;183,1.51456E+12,447,653,0.684532925
54,q58,b58,e58,b,1,5;2;179;184,1.51456E+12,151,178,0.848314607
55,q59,b59,e59,b,1,17;7;183,1.51456E+12,448,1144,0.391608392
56,q60,b60,e60,a,1,14;2;179;182,1.51456E+12,377,450,0.837777778
57,q61,b61,e61,c,1,6;7;181,1.56869E+12,403,547,0.736745887
58,q62,b62,e62,c,1,17;7;185,1.56869E+12,374,540,0.692592593
59,q63,b63,e63,b,1,4;2;185,1.56869E+12,465,754,0.616710875
60,q64,b64,e64,d,1,9;2;181,1.56869E+12,337,693,0.486291486
61,q65,b65,e65,b,1,12;2;183,1.56869E+12,742,1251,0.5931255
62,q66,b66,e66,d,1,15;2;185,1.56869E+12,500,667,0.749625187
63,q67,b67,e67,c,1,4;2;181,1.56869E+12,124,141,0.879432624
64,q68,b68,e68,b,1,22;2;185,1.56869E+12,397,432,0.918981481
65,q69,b69,e69,d,1,1;2;185,1.56869E+12,149,179,0.832402235
66,q70,b70,e70,d,1,6;7;181,1.56869E+12,181,495,0.365656566
67,q71,b71,e71,b,1,1;2;179;181,1.51456E+12,130,139,0.935251799
68,q72,b72,e72,a,1,14;2;179;182,1.51456E+12,214,290,0.737931034
69,q73,b73,e73,b,1,5;2;179;183,1.51456E+12,330,477,0.691823899
70,q74,b74,e74,a,1,5;2;179;184,1.51456E+12,185,223,0.829596413
71,q76,b76,e76,a,1,8;2;182,1.51456E+12,202,269,0.750929368
72,q77,b77,e77,c,1,11;7;183,1.51456E+12,445,806,0.552109181
73,q78,b78,e78,d,1,17;7;184,1.51456E+12,298,506,0.588932806
74,q79,b79,e79,a,1,4;2;183,1.51456E+12,357,437,0.816933638
75,q80,b80,e80,d,1,15;2;179;182,1.51456E+12,119,158,0.753164557
76,q81,b81,e81,b,1,6;7;181,1.52894E+12,132,173,0.76300578
77,q82,b82,e82,a,1,8;2;185,1.52894E+12,106,133,0.796992481
78,q84,b84,e84,c,1,20;21;181,1.52894E+12,383,528,0.725378788
79,q85,b85,e85,d,1,15;2;183,1.52894E+12,129,206,0.626213592
80,q86,b86,e86,a,1,13;2;185,1.52894E+12,340,509,0.667976424
81,q87,b87,e87,b,1,10;7;181,1.52894E+12,237,380,0.623684211
82,q88,b88,e88,a,1,12;2;185,1.52894E+12,168,194,0.865979381
83,q89,b89,e89,a,1,14;2;185,1.52894E+12,287,545,0.526605505
84,q90,b90,e90,a,1,15;2;181,1.52894E+12,337,389,0.866323907
85,q91,b91,e91,d,1,5;2;179;181,1.51456E+12,75,90,0.833333333
86,q92,b92,e92,a,1,4;2;182,1.51456E+12,129,158,0.816455696
87,q94,b94,e94,c,1,1;2;179;184,1.51456E+12,193,217,0.889400922
88,q95,b95,e95,d,1,8;2;179;181,1.51456E+12,125,159,0.786163522
89,q96,b96,e96,c,1,6;7;182,1.51456E+12,183,327,0.559633028
90,q97,b97,e97,d,1,6;7;183,1.51456E+12,145,276,0.525362319
91,q98,b98,e98,a,1,5;2;179;184,1.51456E+12,171,203,0.842364532
92,q99,b99,e99,a,1,18;7;179;182,1.51456E+12,903,1316,0.686170213
93,q100,b100,e100,c,1,22;2;181,1.51456E+12,294,326,0.901840491
94,q103,b103,e103,c,1,4;2;184,1.51456E+12,268,331,0.809667674
95,q104,b104,e104,b,1,6;7;181,1.51456E+12,317,560,0.566071429
96,q105,b105,e105,d,1,5;2;179;182,1.51456E+12,142,194,0.731958763
97,q106,b106,e106,a,1,4;2;184,1.51456E+12,216,316,0.683544304
98,q107,b107,e107,d,1,10;7;179;183,1.51456E+12,194,266,0.729323308
99,q108,b108,e108,a,1,10;7;182,1.51456E+12,469,793,0.591424968
100,q109,b109,e109,c,1,4;2;183,1.56137E+12,136,418,0.325358852
101,q110,b110,e110,c,1,12;2;182,1.56137E+12,130,273,0.476190476
102,q111,b111,e111,a,1,13;2;181,1.56137E+12,725,1152,0.629340278
103,q112,b112,e112,b,1,14;2;179;182,1.56137E+12,334,415,0.804819277
104,q113,b113,e113,d,1,14;2;183,1.56137E+12,145,185,0.783783784
105,q114,b114,e114,b,1,10;7;179;181,1.56137E+12,248,291,0.852233677
106,q115,b115,e115,a,1,15;2;183,1.56137E+12,443,634,0.69873817
107,q116,b116,e116,a,1,16;2;179;182,1.56137E+12,142,151,0.940397351
108,q118,b118,e118,d,1,14;2;179;182,1.56137E+12,152,234,0.64957265
109,q119,b119,e119,d,1,4;2;181,1.51456E+12,262,348,0.752873563
110,q120,b120,e120,b,1,1;2;185,1.51456E+12,219,268,0.817164179
111,q121,b121,e121,c,1,20;21;185,1.51456E+12,543,700,0.775714286
112,q122,b122,e122,d,1,8;2;181,1.51456E+12,216,345,0.626086957
113,q123,b123,e123,a,1,17;7;183,1.51456E+12,523,859,0.608847497
114,q124,b124,e124,b,1,20;21;185,1.51456E+12,551,734,0.750681199
115,q125,b125,e125,a,1,6;7;181,1.51456E+12,324,555,0.583783784
116,q126,b126,e126,c,1,15;2;185,1.51456E+12,139,196,0.709183673
117,q127,b127,e127,b,1,6;7;185,1.51456E+12,400,470,0.85106383
118,q128,b128,e128,b,1,13;2;181,1.51456E+12,174,202,0.861386139
119,q129,b129,e129,b,1,9;2;183,1.51456E+12,99,106,0.933962264
120,q130,b130,e130,d,1,6;7;182,1.51456E+12,198,349,0.567335244
121,q131,b131,e131,c,1,19;2;181,1.51456E+12,973,1468,0.66280654
122,q132,b132,e132,a,1,12;2;179;182,1.51456E+12,335,423,0.791962175
123,q133,b133,e133,b,1,8;2;179;183,1.51456E+12,267,303,0.881188119
124,q134,b134,e134,b,1,5;2;181,1.51456E+12,376,422,0.890995261
125,q135,b135,e135,d,1,4;2;183,1.51456E+12,500,1371,0.364697301
126,q136,b136,e136,c,1,3;2;179;182,1.51456E+12,261,325,0.803076923
127,q137,b137,e137,b,1,5;2;181,1.51456E+12,195,242,0.805785124
128,q139,b139,e139,a,1,14;2;183,1.51456E+12,306,391,0.782608696
129,q140,b140,e140,d,1,16;2;179;181,1.51456E+12,371,709,0.523272214
130,q141,b141,e141,b,1,9;2;183,1.51456E+12,266,343,0.775510204
131,q142,b142,e142,d,1,12;2;182,1.51456E+12,240,354,0.677966102
132,q143,b143,e143,c,1,11;7;181,1.51456E+12,317,445,0.712359551
133,q144,b144,e144,d,1,4;2;182,1.51456E+12,192,304,0.631578947
134,q145,b145,e145,b,1,13;2;183,1.51456E+12,464,684,0.678362573
135,q146,b146,e146,b,1,6;7;179;181,1.51456E+12,259,336,0.770833333
136,q149,b149,e149,b,1,13;2;181,1.51456E+12,246,312,0.788461538
137,q150,b150,e150,d,1,5;2;182,1.51456E+12,446,940,0.474468085
138,q151,b151,e151,d,1,6;7;181,1.51456E+12,188,292,0.643835616
139,q152,b152,e152,c,1,5;2;179;183,1.51456E+12,140,162,0.864197531
140,q153,b153,e153,a,1,8;2;179;182,1.51456E+12,227,254,0.893700787
141,q154,b154,e154,b,1,18;7;181,1.51456E+12,388,532,0.729323308
142,q156,b156,e156,a,1,4;2;183,1.51456E+12,143,173,0.826589595
143,q157,b157,e157,d,1,14;2;179;181,1.51456E+12,153,188,0.813829787
144,q158,b158,e158,c,1,8;2;181,1.51456E+12,600,1164,0.515463918
145,q159,b159,e159,a,1,9;2;185,1.51456E+12,119,126,0.944444444
146,q160,b160,e160,d,1,8;2;185,1.51456E+12,419,872,0.480504587
147,q161,b161,e161,d,1,5;2;181,1.51456E+12,94,118,0.796610169
148,q162,b162,e162,b,1,3;2;183,1.51456E+12,303,361,0.83933518
149,q163,b163,e163,a,1,6;7;185,1.51456E+12,131,164,0.798780488
150,q164,b164,e164,c,1,10;7;181,1.51456E+12,284,312,0.91025641
151,q165,b165,e165,b,1,20;21;185,1.51456E+12,300,454,0.660792952
152,q166,b166,e166,c,1,18;7;185,1.51456E+12,527,904,0.582964602
153,q167,b167,e167,a,1,5;2;181,1.51456E+12,265,325,0.815384615
154,q168,b168,e168,d,1,16;2;179;181,1.51456E+12,119,291,0.408934708
155,q169,b169,e169,c,1,22;2;179;182,1.51456E+12,242,295,0.820338983
156,q170,b170,e170,b,1,9;2;183,1.51456E+12,161,211,0.763033175
157,q171,b171,e171,d,1,9;2;184,1.51456E+12,296,590,0.501694915
158,q172,b172,e172,a,1,5;2;181,1.51456E+12,554,737,0.751696065
159,q173,b173,e173,a,1,17;7;182,1.51456E+12,322,622,0.517684887
160,q174,b174,e174,a,1,10;7;183,1.51456E+12,421,607,0.693574959
161,q175,b175,e175,b,1,17;7;184,1.51456E+12,323,432,0.747685185
162,q176,b176,e176,d,1,6;7;183,1.51456E+12,450,1214,0.370675453
163,q177,b177,e177,b,1,6;7;182,1.51456E+12,264,591,0.446700508
164,q178,b178,e178,d,1,9;2;182,1.51456E+12,101,127,0.795275591
165,q179,b179,e179,c,1,5;2;179;183,1.51456E+12,124,133,0.932330827
166,q180,b180,e180,b,1,15;2;184,1.51456E+12,153,198,0.772727273
167,q181,b181,e181,d,1,9;2;181,1.51456E+12,382,988,0.386639676
168,q182,b182,e182,b,1,4;2;182,1.51456E+12,214,323,0.6625387
169,q183,b183,e183,d,1,15;2;179;183,1.51456E+12,266,404,0.658415842
170,q184,b184,e184,a,1,20;21;179;184,1.51456E+12,343,504,0.680555556
171,q185,b185,e185,a,1,11;7;183,1.51456E+12,348,466,0.746781116
172,q186,b186,e186,b,1,12;2;182,1.51456E+12,635,1083,0.586334257
173,q187,b187,e187,a,1,4;2;181,1.51456E+12,496,841,0.589774078
174,q188,b188,e188,c,1,19;2;185,1.51456E+12,831,1043,0.796740173
175,q189,b189,e189,b,1,8;2;185,1.51456E+12,253,292,0.866438356
176,q190,b190,e190,a,1,6;7;181,1.51456E+12,539,1496,0.360294118
177,q191,b191,e191,b,1,4;2;183,1.51456E+12,170,208,0.817307692
178,q192,b192,e192,d,1,3;2;185,1.51456E+12,425,726,0.585399449
179,q193,b193,e193,a,1,4;2;181,1.51456E+12,211,236,0.894067797
180,q194,b194,e194,d,1,10;7;185,1.51456E+12,515,714,0.721288515
181,q195,b195,e195,c,1,20;21;185,1.51456E+12,422,654,0.645259939
182,q196,b196,e196,b,1,17;7;181,1.51456E+12,326,427,0.763466042
183,q197,b197,e197,a,2,24;25;183;181,1.57241E+12,150,175,0.857142857
184,q198,b198,e198,a,2,31;32;185;183,1.57241E+12,165,213,0.774647887
185,q199,b199,e199,b,2,24;33;184;183,1.57241E+12,162,420,0.385714286
186,q200,b200,e200,c,2,51;24;26;181;185,1.57241E+12,815,1916,0.425365344
187,q201,b201,e201,c,2,28;29;184;183,1.57241E+12,269,424,0.634433962
188,q202,b202,e202,a,2,24;40;181;185,-1,137,207,0.661835749
189,q203,b203,e203,b,2,38;39;183;185,1.57241E+12,198,322,0.614906832
190,q204,b204,e204,a,2,24;41;181;185,1.57241E+12,210,288,0.729166667
191,q205,b205,e205,a,2,44;49;185;181,1.57241E+12,543,748,0.725935829
192,q206,b206,e206,c,2,31;32;183;185,1.57241E+12,204,275,0.741818182
193,q208,b208,e208,c,2,24;25;181;183,1.57241E+12,134,214,0.626168224
194,q209,b209,e209,b,2,31;42;185;181,1.57241E+12,343,612,0.560457516
195,q210,b210,e210,a,2,36;32;185;181,-1,216,446,0.484304933
196,q212,b212,e212,b,2,27;24;26;183;184,1.57241E+12,237,287,0.825783972
197,q213,b213,e213,a,2,27;24;40;185;183,-1,247,340,0.726470588
198,q214,b214,e214,c,2,31;32;185;183,-1,374,863,0.433371958
199,q215,b215,e215,a,2,30;34;35;183;185,-1,539,746,0.722520107
200,q216,b216,e216,c,2,23;24;25;183;184,1.57241E+12,335,487,0.68788501
201,q217,b217,e217,a,2,24;48;181;185,1.57241E+12,594,772,0.769430052
202,q218,b218,e218,b,2,24;50;184;185,1.57241E+12,1144,1906,0.600209864
203,q219,b219,e219,c,2,44;45;185;184,-1,387,940,0.411702128
204,q220,b220,e220,a,2,27;31;32;181;185,1.57241E+12,194,326,0.595092025
205,q221,b221,e221,b,2,36;37;185;183,-1,296,500,0.592
206,q222,b222,e222,c,2,24;33;183;181,-1,107,149,0.718120805
207,q223,b223,e223,b,2,36;37;185;183,-1,517,693,0.746031746
208,q224,b224,e224,c,2,28;32;185;183,-1,198,305,0.649180328
209,q225,b225,e225,c,2,30;34;35;181;185,-1,205,304,0.674342105
210,q226,b226,e226,a,2,24;43;184;185,-1,201,290,0.693103448
211,q227,b227,e227,c,2,23;24;25;183;181,-1,196,241,0.813278008
212,q229,b229,e229,a,2,24;33;185;183,1.51456E+12,150,208,0.721153846
213,q230,b230,e230,b,2,24;48;181;183,-1,233,348,0.66954023
214,q231,b231,e231,c,2,24;33;184;185,-1,223,290,0.768965517
215,q232,b232,e232,a,2,31;32;183;185,1.51456E+12,276,379,0.72823219
216,q233,b233,e233,c,2,28;29;181;185,1.51456E+12,407,951,0.427970557
217,q235,b235,e235,b,2,24;33;181;185,1.51456E+12,253,379,0.667546174
218,q236,b236,e236,c,2,44;45;183;185,1.51456E+12,260,552,0.471014493
219,q237,b237,e237,c,2,23;46;47;185;181,-1,708,1265,0.559683794
220,q238,b238,e238,a,2,27;24;26;181;183,1.51456E+12,317,416,0.762019231
221,q240,b240,e240,b,2,34;35;185;181,1.51456E+12,240,472,0.508474576
222,q241,b241,e241,b,2,24;40;183;181,1.51456E+12,417,721,0.578363384
223,q242,b242,e242,b,2,24;41;183;185,1.51456E+12,164,223,0.735426009
224,q243,b243,e243,c,2,27;28;29;185;183,1.51456E+12,585,936,0.625
225,q245,b245,e245,c,2,24;25;185;183,1.51456E+12,455,817,0.556915545
226,q246,b246,e246,c,2,30;24;50;185;183,1.51456E+12,252,381,0.661417323
227,q247,b247,e247,b,2,31;32;181;185,1.51456E+12,149,191,0.780104712
228,q248,b248,e248,b,2,24;40;184;181,1.51456E+12,162,242,0.669421488
229,q249,b249,e249,b,2,27;38;39;185;184,1.51456E+12,387,542,0.71402214
230,q250,b250,e250,c,2,179;38;39;181;185,1.51456E+12,262,392,0.668367347
231,q251,b251,e251,b,2,36;37;184;183,1.51456E+12,353,484,0.729338843
232,q252,b252,e252,a,2,24;41;183;181,1.51456E+12,194,242,0.801652893
233,q253,b253,e253,c,2,31;32;185;183,1.51456E+12,157,255,0.615686275
234,q254,b254,e254,a,2,36;37;185;183,-1,334,633,0.52764613
235,q255,b255,e255,c,2,31;32;181;185,1.51456E+12,160,292,0.547945205
236,q256,b256,e256,c,2,34;42;184;183,-1,357,690,0.517391304
237,q259,b259,e259,a,2,24;25;182;183,1.57241E+12,601,1167,0.514995716
238,q260,b260,e260,a,2,30;38;39;184;182,-1,325,529,0.61436673
239,q261,b261,e261,c,2,31;32;184;181,1.57241E+12,335,555,0.603603604
240,q262,b262,e262,a,2,44;45;183;182,-1,229,324,0.706790123
241,q263,b263,e263,b,2,24;48;184;181,-1,449,668,0.672155689
242,q264,b264,e264,a,2,179;38;39;184;182,-1,209,325,0.643076923
243,q265,b265,e265,b,2,24;33;182;181,-1,242,364,0.664835165
244,q266,b266,e266,a,2,24;26;181;184,1.57241E+12,233,314,0.742038217
245,q267,b267,e267,c,2,30;28;29;184;183,-1,245,331,0.740181269
246,q268,b268,e268,b,2,24;43;184;181,-1,188,296,0.635135135
247,q269,b269,e269,c,2,27;24;26;181;183,-1,203,289,0.702422145
248,q270,b270,e270,a,2,30;34;35;184;181,-1,296,426,0.694835681
249,q271,b271,e271,c,2,36;37;182;183,-1,464,866,0.535796767
250,q273,b273,e273,b,2,179;44;45;181;183,1.57241E+12,317,435,0.728735632
251,q274,b274,e274,c,2,182;24;40;184,-1,92,137,0.671532847
252,q275,b275,e275,c,2,30;179;34;35;184;181,1.57241E+12,229,270,0.848148148
253,q276,b276,e276,b,2,30;34;35;183;182,1.57241E+12,304,423,0.718676123
254,q277,b277,e277,c,2,31;32;182;181,1.57241E+12,165,259,0.637065637
255,q278,b278,e278,a,2,27;46;47;181;183,1.57241E+12,607,908,0.668502203
256,q279,b279,e279,a,2,28;29;182;183,1.57241E+12,247,424,0.58254717
257,q280,b280,e280,b,2,38;39;182;181,1.57241E+12,775,1503,0.515635396
258,q281,b281,e281,c,2,44;45;184;182,-1,236,329,0.717325228
259,q283,b283,e283,a,2,27;179;24;25;182;184,-1,349,568,0.61443662
260,q284,b284,e284,b,2,27;24;33;182;183,1.57241E+12,236,333,0.708708709
261,q285,b285,e285,a,2,34;35;184;182,-1,453,830,0.545783133
262,q286,b286,e286,b,2,24;40;184;181,-1,223,476,0.468487395
263,q287,b287,e287,a,2,30;34;35;182;181,-1,246,308,0.798701299
264,q288,b288,e288,a,2,24;26;182;181,1.57241E+12,156,264,0.590909091
265,q289,b289,e289,b,2,51;24;33;183;182,1.57241E+12,874,1372,0.637026239
266,q290,b290,e290,b,2,24;26;183;184,-1,208,252,0.825396825
267,q291,b291,e291,a,2,24;41;182;181,-1,623,988,0.630566802
268,q292,b292,e292,c,2,31;32;183;182,1.57241E+12,688,1078,0.638218924
269,q294,b294,e294,a,2,24;43;182;183,1.57241E+12,665,1293,0.514307811
270,q295,b295,e295,c,2,34;42;181;182,1.57241E+12,2312,2978,0.776359973
271,q296,b296,e296,c,2,27;24;48;181;182,-1,256,405,0.632098765
272,q297,b297,e297,b,2,24;40;183;184,1.57241E+12,757,1350,0.560740741
273,q298,b298,e298,c,2,23;24;25;183;182,1.57241E+12,217,291,0.745704467
274,q299,b299,e299,a,2,27;34;35;182;181,1.57241E+12,259,371,0.698113208
275,q301,b301,e301,b,2,34;42;183;182,1.57241E+12,205,274,0.748175182
276,q303,b303,e303,b,2,30;34;42;182;181,-1,211,514,0.410505837
277,q304,b304,e304,a,2,24;26;183;182,-1,126,211,0.597156398
278,q306,b306,e306,c,2,27;24;33;182;183,1.57241E+12,223,327,0.681957187
279,q307,b307,e307,c,2,30;24;48;181;182,-1,358,556,0.643884892
280,q308,b308,e308,a,2,30;34;35;181;182,1.57241E+12,514,745,0.689932886
281,q309,b309,e309,c,2,28;29;183;184,-1,206,368,0.559782609
282,q310,b310,e310,a,2,28;37;183;182,-1,265,513,0.516569201
283,q311,b311,e311,c,2,34;35;184;183,-1,98,176,0.556818182
284,q312,b312,e312,c,2,23;24;25;183;181,-1,417,775,0.538064516
285,q313,b313,e313,c,2,24;33;185;183,1.55505E+12,145,220,0.659090909
286,q314,b314,e314,c,2,24;43;185;183,1.55505E+12,146,213,0.685446009
287,q315,b315,e315,a,2,24;26;181;183,1.55505E+12,129,143,0.902097902
288,q316,b316,e316,b,2,31;32;184;185,1.55505E+12,154,211,0.72985782
289,q317,b317,e317,a,2,23;179;24;25;183;185,1.55505E+12,271,315,0.86031746
290,q318,b318,e318,b,2,24;41;181;185,1.55505E+12,187,214,0.873831776
291,q319,b319,e319,b,2,24;40;181;185,1.55505E+12,121,175,0.691428571
292,q320,b320,e320,a,2,36;37;181;185,-1,325,539,0.60296846
293,q321,b321,e321,b,2,23;24;33;183;185,1.55505E+12,258,300,0.86
294,q322,b322,e322,b,2,30;31;32;185;181,1.55505E+12,216,295,0.73220339
295,q323,b323,e323,a,2,28;29;181;183,1.55505E+12,312,588,0.530612245
296,q324,b324,e324,a,2,24;26;185;181,1.55505E+12,134,146,0.917808219
297,q325,b325,e325,c,2,38;39;185;181,1.55505E+12,207,335,0.617910448
298,q326,b326,e326,b,2,24;43;183;181,-1,524,1210,0.433057851
299,q327,b327,e327,c,2,30;36;32;183;185,1.55505E+12,407,697,0.583931133
300,q328,b328,e328,b,2,179;44;45;183;185,-1,269,352,0.764204545
301,q329,b329,e329,a,2,30;179;38;39;183;185,1.55505E+12,230,348,0.66091954
302,q330,b330,e330,c,2,34;35;183;185,-1,398,764,0.520942408
303,q331,b331,e331,c,2,31;32;183;185,-1,139,189,0.735449735
304,q332,b332,e332,a,2,24;40;181;185,1.55505E+12,197,321,0.613707165
305,q333,b333,e333,c,2,30;36;37;184;181,1.55505E+12,214,289,0.740484429
306,q334,b334,e334,c,2,24;50;185;184,1.55505E+12,188,236,0.796610169
307,q335,b335,e335,c,2,44;45;181;185,1.55505E+12,292,469,0.622601279
308,q336,b336,e336,b,2,179;28;29;184;183,1.55505E+12,775,1360,0.569852941
309,q337,b337,e337,c,2,34;35;183;181,-1,191,251,0.760956175
310,q338,b338,e338,b,2,31;32;185;183,-1,262,339,0.772861357
311,q339,b339,e339,c,2,38;39;185;183,1.55505E+12,233,345,0.675362319
312,q340,b340,e340,b,2,24;41;181;185,-1,155,245,0.632653061
313,q341,b341,e341,c,2,30;38;39;184;183,-1,347,462,0.751082251
314,q342,b342,e342,c,2,179;46;47;183;181,1.52663E+12,377,490,0.769387755
315,q343,b343,e343,a,2,24;25;182;184,1.52663E+12,174,197,0.883248731
316,q344,b344,e344,b,2,24;43;182;183,1.52663E+12,183,240,0.7625
317,q345,b345,e345,b,2,24;26;184;182,1.52663E+12,145,189,0.767195767
318,q346,b346,e346,a,2,179;34;35;184;182,-1,247,303,0.815181518
319,q349,b349,e349,c,2,24;40;184;182,1.52663E+12,125,174,0.718390805
320,q350,b350,e350,a,2,179;46;47;182;181,-1,407,520,0.782692308
321,q351,b351,e351,b,2,28;29;181;184,1.52663E+12,234,356,0.657303371
322,q353,b353,e353,c,2,44;45;184;181,1.52663E+12,251,454,0.552863436
323,q355,b355,e355,c,2,30;36;37;184;181,1.52663E+12,233,345,0.675362319
324,q356,b356,e356,b,2,30;34;42;181;183,1.52663E+12,390,565,0.690265487
325,q357,b357,e357,b,2,24;33;183;184,1.52663E+12,143,187,0.764705882
326,q358,b358,e358,c,2,34;35;181;183,-1,173,214,0.808411215
327,q359,b359,e359,b,2,30;28;37;182;184,1.52663E+12,223,286,0.77972028
328,q360,b360,e360,c,2,30;36;37;184;181,1.52663E+12,218,329,0.662613982
329,q361,b361,e361,a,2,24;41;183;182,-1,348,505,0.689108911
330,q362,b362,e362,a,2,30;28;29;182;181,1.52663E+12,222,281,0.790035587
331,q366,b366,e366,a,2,34;35;184;182,1.52663E+12,339,646,0.524767802
332,q367,b367,e367,c,2,183;181;24;25,-1,180,239,0.753138075
333,q368,b368,e368,b,2,30;24;33;185;183,1.57241E+12,451,707,0.637906648
334,q369,b369,e369,c,2,184;183;24;40,-1,433,703,0.615931721
335,q370,b370,e370,c,2,181;185;24;48,1.57241E+12,363,602,0.602990033
336,q371,b371,e371,b,2,184;183;24;33,1.57241E+12,335,461,0.726681128
337,q372,b372,e372,c,2,181;185;27;24;26,1.57241E+12,568,658,0.863221884
338,q373,b373,e373,b,2,183;185;23;24;25,1.57241E+12,766,963,0.795430945
339,q374,b374,e374,b,2,183;185;30;31;32,1.57241E+12,174,233,0.746781116
340,q375,b375,e375,a,2,185;181;28;29,1.57241E+12,274,436,0.628440367
341,q376,b376,e376,b,2,183;185;24;43,1.57241E+12,164,259,0.633204633
342,q377,b377,e377,a,2,30;31;32;185;181,-1,824,1374,0.599708879
343,q378,b378,e378,c,2,24;40;181;183,1.57241E+12,226,424,0.533018868
344,q379,b379,e379,a,2,185;181;31;32,-1,377,452,0.834070796
345,q380,b380,e380,b,2,36;37;185;181,1.57241E+12,520,912,0.570175439
346,q381,b381,e381,a,2,31;32;183;181,-1,219,250,0.876
347,q382,b382,e382,a,2,183;184;36;37,1.57241E+12,236,402,0.587064677
348,q383,b383,e383,b,2,31;32;185;183,1.57241E+12,185,251,0.737051793
