,username,num_of_questions_answered,num_of_correct_answers,num_of_explanations,num_of_lectures,devicesUsed,confidence_level,payments,duration,accuracy,mixed_cols,combined_metric
37,u10219,1604,890,1618,31,mobile,27,2,13824000000,0.5548628428927681,0.1991673299455091,0.3414455351244127
38,u1022,62,39,54,5,mobile,9,1,2592000000,0.6290322580645161,0.007408314455397049,0.2560578918990447
39,u10224,33,19,22,0,mobile,0,1,8640000000,0.5757575757575758,0.0033674156615441132,0.23232347969995681
40,u10225,7,3,0,0,mobile,0,1,8640000000,0.42857142857142855,0.0004285801751056144,0.1716857195336348
41,u10226,456,293,450,1,mobile,19,0,0,0.6425438596491229,0.05553174554582747,0.2903365911871456
42,u10231,595,413,651,19,mobile,433,2,19872000000,0.6941176470588235,0.07745056021551461,0.3241173949528382
43,u10232,384,282,438,38,Unknown,419,1,15552000000,0.734375,0.05265413579868977,0.32534248147921385
44,u10233,335,184,357,1,mobile,86,0,0,0.5492537313432836,0.04242943733545582,0.24515915493858692
45,u10235,415,248,195,4,Unknown,213,1,8640000000,0.5975903614457831,0.03759260393069246,0.26159170693672873
46,u10236,61,36,53,0,mobile,0,0,0,0.5901639344262295,0.006979734280291435,0.24025341433866668
47,u10237,95,53,98,2,mobile,4,1,8640000000,0.5578947368421052,0.011939019163656401,0.23032130623503594
48,u1024,8,1,1,0,mobile,1,0,0,0.125,0.0005510316537072186,0.05033061899222433
49,u10245,2224,1455,1413,6,Unknown,722,2,17280000000,0.654226618705036,0.2230453682728219,0.39551786844570747
50,u10250,353,242,363,3,mobile,30,0,0,0.6855524079320113,0.04402130655727668,0.30063374710717056
51,u10251,417,276,416,21,mobile,2,0,0,0.6618705035971223,0.052286781362884956,0.2961202702565799
52,u1026,415,288,395,8,mobile,4,1,5184000000,0.6939759036144578,0.05008265474805608,0.30763995429461677
53,u1027,6,2,0,0,web,4,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
54,u10293,55,34,59,4,mobile,1,0,0,0.6181818181818182,0.007224637237494643,0.25160750961522405
55,u103,7,6,0,0,mobile,0,0,0,0.8571428571428571,0.0004285801751056144,0.34311429096220625
56,u1030,121,96,136,6,mobile,103,0,0,0.7933884297520661,0.01610236943611094,0.327016793562493
57,u1031,108,79,95,9,web,0,1,4320000000,0.7314814814814815,0.012979856731770037,0.30038050663165466
58,u10319,324,195,309,28,Unknown,431,1,8640000000,0.6018518518518519,0.04047021367783016,0.26502286894743887
59,u1032,73,32,46,3,mobile,4,1,8640000000,0.4383561643835616,0.007469540194697851,0.17982418987024337
60,u1033,153,98,174,13,Unknown,5,3,30240000000,0.6405228758169934,0.0208167513622727,0.26869920114416096
61,u1034,193,140,208,12,mobile,108,0,0,0.7253886010362695,0.02528623033123125,0.30532717861324654
62,u10340,1104,830,1152,1,mobile,1,0,0,0.7518115942028986,0.13818649360191024,0.38363653384230556
63,u10341,17,13,12,0,Unknown,4,1,8640000000,0.7647058823529411,0.0017755464397232596,0.30694768080501045
64,u10342,4998,3927,5261,180,Unknown,20,2,19008000000,0.7857142857142857,0.6391354925610727,0.6977670098223578
65,u10344,457,357,519,1,Unknown,5,1,8640000000,0.7811816192560175,0.05981754729688361,0.3483631760805372
66,u10345,1334,832,1064,38,mobile,4,3,15552000000,0.623688155922039,0.1491459009367538,0.3389628029308679
67,u10346,2044,1576,1686,105,Unknown,1802,1,4320000000,0.7710371819960861,0.23480071021857588,0.44929529892958
68,u10347,1189,606,1208,1,mobile,276,0,0,0.5096719932716569,0.14681932284332333,0.29196039101465676
69,u1035,1581,981,1421,152,mobile,309,1,4320000000,0.6204933586337761,0.19310598175472968,0.36406093250634824
70,u10350,7,3,0,0,mobile,0,0,0,0.42857142857142855,0.0004285801751056144,0.1716857195336348
71,u10351,61,23,50,1,Unknown,6,1,8640000000,0.3770491803278688,0.00685728280168983,0.15493404181216144
72,u10354,16,11,6,0,Unknown,0,1,8640000000,0.6875,0.0013469662646176453,0.2758081797587706
73,u10357,83,57,83,1,mobile,7,0,0,0.6867469879518072,0.010224698463233943,0.28083361425866327
74,u1036,7,3,0,1,mobile,0,0,0,0.42857142857142855,0.0004898059144064164,0.17172245497721528
75,u10368,21,7,4,0,mobile,0,1,8640000000,0.3333333333333333,0.0015306434825200514,0.13425171942284536
76,u10369,942,653,979,17,mobile,408,0,0,0.6932059447983014,0.11865548276495438,0.34847566757829324
77,u1037,322,170,301,50,Unknown,0,1,8640000000,0.5279503105590062,0.04120492254943978,0.23590307775326635
78,u10378,391,231,443,1,mobile,372,0,0,0.5907928388746803,0.051123492316169715,0.26699123093957394
79,u10379,117,85,109,1,mobile,3,0,0,0.7264957264957265,0.013898242821282067,0.29893723629105984
80,u10380,22,15,14,1,mobile,1,0,0,0.6818181818181818,0.002265352354129676,0.2740864841397505
81,u10381,1180,826,1184,9,mobile,15,0,0,0.7,0.14528867936080328,0.3671732076164819
82,u10383,124,92,123,5,mobile,3,0,0,0.7419354838709677,0.015428886303802118,0.3060315253306684
83,u10384,11,6,2,0,mobile,0,1,8640000000,0.5454545454545454,0.0007959346109104267,0.21865937894836443
84,u10386,0,0,1,1,mobile,0,0,0,,0.0001224514786016041,
85,u10390,590,450,520,38,mobile,20,0,0,0.7627118644067796,0.07028714871732077,0.34725703499310434
86,u10391,332,208,337,3,Unknown,67,1,4320000000,0.6265060240963856,0.041143696810138984,0.27528862772463764
87,u10395,872,494,606,26,mobile,576,1,8640000000,0.5665137614678899,0.09208351190840629,0.28185561173219975
88,u10409,7,2,5,0,mobile,0,0,0,0.2857142857142857,0.0007347088716096247,0.11472653960868005
89,u10420,171,100,79,3,Unknown,0,1,4320000000,0.5847953216374269,0.01549011204310292,0.2432121958808325
90,u10424,17,5,9,0,mobile,0,0,0,0.29411764705882354,0.0015918692218208534,0.11860218035662194
91,u10426,19,8,15,0,mobile,0,0,0,0.42105263157894735,0.0020816751362272698,0.1696700577133153
92,u10427,491,244,483,3,mobile,2,0,0,0.4969450101832994,0.05981754729688361,0.23466853245144995
93,u10430,74,48,72,0,mobile,5,0,0,0.6486486486486487,0.0089389579379171,0.26482283422220976
94,u10432,61,19,61,1,mobile,2,0,0,0.3114754098360656,0.007530765933998653,0.12910862349482544
95,u10433,144,88,144,10,mobile,0,0,0,0.6111111111111112,0.018245270311639014,0.25539160663142785
96,u10434,10,7,0,0,web,48,0,0,0.7,0.0006122573930080206,0.2803673544358048
97,u10435,53,28,45,0,Unknown,59,1,8640000000,0.5283018867924528,0.006000122451478602,0.2149208281878683
98,u10436,243,146,246,5,mobile,11,0,0,0.6008230452674898,0.030245515214596216,0.25847652723575365
99,u10443,10,5,3,0,mobile,0,0,0,0.5,0.0007959346109104267,0.20047756076654627
100,u1046,393,217,210,104,Unknown,0,1,5184000000,0.5521628498727735,0.043286597685667054,0.24683709856050964
101,u1047,55,38,37,0,mobile,30,1,4320000000,0.6909090909090909,0.005632768015673789,0.27974329717304064
102,u10480,931,549,964,9,mobile,6,0,0,0.58968850698174,0.11657380762872711,0.3058196873699323
103,u10494,56,27,46,0,mobile,0,0,0,0.48214285714285715,0.00624502540868181,0.19660415810235196
104,u1052,12,7,1,7,web,1,1,4320000000,0.5833333333333334,0.0012245147860160412,0.23406804220494298
105,u10523,217,149,213,0,mobile,10,0,0,0.6866359447004609,0.026327067899344886,0.2904506186197913
106,u1053,76,38,69,5,mobile,2,0,0,0.5,0.009183860895120308,0.2055103165370722
107,u10537,229,131,185,12,Unknown,216,1,15552000000,0.5720524017467249,0.026082164942141675,0.24447025966397495
108,u10540,57,23,58,6,mobile,30,1,12960000000,0.40350877192982454,0.007408314455397049,0.16584849744516805
109,u10541,6,2,0,0,mobile,0,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
110,u10543,24,17,18,0,Unknown,0,1,2592000000,0.7083333333333334,0.0025714810506336865,0.2848762219637136
111,u10551,802,624,523,6,mobile,195,1,4320000000,0.7780548628428927,0.08149145900936754,0.36011682054277766
112,u10553,264,247,254,0,web,16,0,0,0.9356060606060606,0.03171493295781547,0.39327138401711353
113,u10554,839,481,873,1,mobile,764,0,0,0.5733015494636472,0.10487969142227392,0.2922484346388232
114,u10555,68,41,51,0,Unknown,10,1,4320000000,0.6029411764705882,0.007285862976795445,0.24554798837431258
115,u10556,6,2,0,0,mobile,0,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
116,u10569,155,105,148,3,mobile,0,1,8640000000,0.6774193548387096,0.01873507622604543,0.28220878767111107
117,u10578,7,4,18,2,Unknown,0,1,8640000000,0.5714285714285714,0.0016530949611216555,0.22956328554810157
118,u10580,438,210,414,132,Unknown,192,0,0,0.4794520547945205,0.06024612747198922,0.22792849840100174
119,u10581,1144,776,1183,28,mobile,615,1,8640000000,0.6783216783216783,0.14418661605338884,0.3578406409607046
120,u10587,70,34,60,1,Unknown,1,1,8640000000,0.4857142857142857,0.008020571848405069,0.19909805739475733
121,u10591,374,203,374,2,mobile,12,0,0,0.5427807486631016,0.045919304475601545,0.24466388215060156
122,u10592,26,12,27,5,mobile,31,1,4320000000,0.46153846153846156,0.003551092879446519,0.18674604034305253
123,u10593,558,349,561,2,Unknown,11,1,4320000000,0.6254480286738351,0.0686340537561991,0.2913596437232535
124,u10594,58,43,49,0,mobile,0,0,0,0.7413793103448276,0.00655115410518582,0.3004824166010426
125,u10608,485,320,487,25,mobile,78,0,0,0.6597938144329897,0.061042062082899654,0.3005427630229357
126,u10609,1390,993,1394,49,mobile,10,0,0,0.7143884892086331,0.17345251943917223,0.3898269073469566
127,u10618,17,11,11,0,mobile,21,1,8640000000,0.6470588235294118,0.0017143207004224575,0.2598521218320182
128,u10619,112,72,108,1,mobile,6,0,0,0.6428571428571429,0.013530888385477254,0.2652613901741435
129,u10620,3278,2511,2171,23,Unknown,524,1,15552000000,0.7660158633312996,0.3350272454539889,0.5074226926049132
130,u10621,66,28,57,0,mobile,8,0,0,0.42424242424242425,0.007530765933998653,0.1742154292573689
131,u10622,9,8,4,0,Unknown,0,1,4320000000,0.8888888888888888,0.0007959346109104267,0.35603311632210183
132,u10623,19,10,27,0,mobile,1,0,0,0.5263157894736842,0.0028163840078368947,0.2122161461941758
133,u10626,432,271,442,1,mobile,155,0,0,0.6273148148148148,0.0535725218882018,0.283069439058847
134,u10631,444,279,250,1,Unknown,2,2,11232000000,0.6283783783783784,0.04255188881405743,0.2768824846397859
135,u10636,86,32,65,12,Unknown,0,1,4320000000,0.37209302325581395,0.009979795506030736,0.15482508660594402
136,u10637,157,111,196,0,mobile,153,0,0,0.7070063694267515,0.021612685973183127,0.2957701593546105
137,u10641,297,182,297,20,web,0,0,0,0.6127946127946128,0.03759260393069246,0.2676734074762606
138,u10683,11,4,1,0,Unknown,0,1,2592000000,0.36363636363636365,0.0007347088716096247,0.14589537077751125
139,u10696,245,169,236,14,mobile,26,1,15552000000,0.689795918367347,0.03030674095389702,0.294102411919277
140,u10720,273,149,137,6,Unknown,112,1,31104000000,0.5457875457875457,0.025469907549133655,0.23359696284449852
141,u10721,11,6,4,1,web,0,1,8640000000,0.5454545454545454,0.0009796118288128328,0.21876958527910587
142,u10740,8,6,0,0,mobile,0,0,0,0.75,0.0004898059144064164,0.3002938835486439
143,u10741,316,204,310,3,mobile,41,1,4320000000,0.6455696202531646,0.03851099002020449,0.2813344421133885
144,u10742,113,83,126,22,mobile,162,0,0,0.7345132743362832,0.015979917957509335,0.3033932605090189
145,u10743,1636,980,1710,8,mobile,1275,0,0,0.5990220048899756,0.2053511296148901,0.3628194797249243
146,u10744,922,551,386,8,Unknown,146,1,4320000000,0.5976138828633406,0.0805730729198555,0.28738939689724957
147,u10745,209,66,117,10,Unknown,84,1,8640000000,0.3157894736842105,0.020571848405069492,0.13865889851672591
148,u10747,156,71,67,7,Unknown,8,1,8640000000,0.4551282051282051,0.014081920039184473,0.19050043407479275
149,u10755,2242,1314,2236,84,mobile,4,0,0,0.5860838537020517,0.279311822690259,0.4020206350949761
150,u10768,6,2,0,0,mobile,0,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
151,u10769,947,728,481,37,Unknown,325,1,4320000000,0.7687434002111933,0.089695708075675,0.36131478492988234
152,u10780,125,62,130,5,mobile,25,0,0,0.496,0.015918692218208536,0.20795121533092514
153,u10781,38,26,28,0,Unknown,0,1,2592000000,0.6842105263157895,0.004040898793852936,0.27610874980262756
154,u10782,41,32,67,2,Unknown,15,1,4320000000,0.7804878048780488,0.0067348313230882265,0.3162360207450725
155,u10783,406,345,418,0,web,71,0,0,0.8497536945812808,0.050450009183860896,0.3701714833428289
156,u10785,171,94,139,5,mobile,18,0,0,0.5497076023391813,0.01928610787975265,0.2314547056635241
157,u10787,221,115,227,26,Unknown,70,1,4320000000,0.5203619909502263,0.029021000428580176,0.22555739663723864
158,u10790,7,4,0,0,mobile,0,0,0,0.5714285714285714,0.0004285801751056144,0.22882857667649192
159,u10793,12,6,6,0,Unknown,0,1,8640000000,0.5,0.0011020633074144371,0.20066123798444868
160,u10794,1314,774,729,21,Unknown,1,1,8640000000,0.589041095890411,0.12636992591685545,0.3114383939062777
161,u10797,6,3,0,0,mobile,1,0,0,0.5,0.00036735443580481234,0.2002204126614829
162,u10800,482,260,536,27,mobile,178,0,0,0.5394190871369294,0.06398089756933815,0.2541561733963747
163,u10801,493,350,458,1,mobile,36,0,0,0.7099391480730223,0.05828690381436356,0.31894780151782703
164,u10803,63,46,42,0,Unknown,3,1,10368000000,0.7301587301587301,0.006428702626584216,0.2959207136394426
165,u10805,10,4,0,0,mobile,0,0,0,0.4,0.0006122573930080206,0.16036735443580485
166,u10806,453,275,288,9,mobile,111,1,6480000000,0.6070640176600441,0.045919304475601545,0.27037718974937863
167,u10807,1094,702,1083,0,mobile,8,0,0,0.6416819012797075,0.13328843445784608,0.33664582118659064
168,u10810,30,14,23,0,mobile,1,0,0,0.4666666666666667,0.003244964182942509,0.18861364517643217
169,u10812,1,1,1,0,Unknown,0,1,4320000000,1.0,0.0001224514786016041,0.400073470887161
170,u10813,6,3,0,0,mobile,0,0,0,0.5,0.00036735443580481234,0.2002204126614829
171,u10816,319,137,318,5,mobile,25,0,0,0.42946708463949845,0.03930692463111492,0.19537098863446836
172,u10817,6,2,0,0,web,2,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
173,u10828,154,97,123,0,Unknown,47,2,31104000000,0.6298701298701299,0.01695952978632217,0.26212376981984525
174,u10838,258,191,309,10,mobile,269,0,0,0.7403100775193798,0.03532725157656279,0.3173203819536896
175,u10839,3105,2379,3125,0,mobile,1654,0,0,0.7661835748792271,0.3814363558439968,0.5353352434580889
176,u1084,8,4,2,7,mobile,0,0,0,0.5,0.0010408375681136349,0.2006245025408682
177,u1085,150,97,166,5,mobile,72,0,0,0.6466666666666666,0.01965346231555746,0.2704587440560011
178,u10866,10,6,3,0,mobile,2,0,0,0.6,0.0007959346109104267,0.24047756076654625
179,u10899,15,11,12,0,Unknown,0,1,8640000000,0.7333333333333333,0.0016530949611216555,0.2943251903100063
180,u1090,22,11,20,3,Unknown,3,1,4320000000,0.5,0.0027551582685360924,0.20165309496112166
181,u10906,21,10,23,1,web,0,1,4320000000,0.47619047619047616,0.0027551582685360924,0.19212928543731211
182,u1091,345,208,293,11,web,468,1,2592000000,0.6028985507246377,0.03973550480622053,0.2650007231735874
183,u10912,649,407,424,38,mobile,398,1,15552000000,0.6271186440677966,0.06802179636319108,0.2916605354450333
184,u10913,18,6,14,2,Unknown,0,1,8640000000,0.3333333333333333,0.0020816751362272698,0.1345823384150697
185,u10948,174,114,179,5,mobile,3,0,0,0.6551724137931034,0.021918814669687137,0.27522025431905367
186,u10949,1323,774,1368,70,Unknown,1106,2,36288000000,0.5850340136054422,0.1690442662095145,0.33544016516788555
187,u10958,5,5,1,0,Unknown,5,1,8640000000,1.0,0.00036735443580481234,0.4002204126614829
188,u10960,162,83,152,2,mobile,5,0,0,0.5123456790123457,0.01934733361905345,0.21654667177637038
189,u10961,1692,1168,1439,27,mobile,763,1,8640000000,0.6903073286052009,0.1933508847119329,0.3921334622692401
190,u10962,2511,1563,1669,109,Unknown,855,2,17280000000,0.6224611708482676,0.26259719586114,0.406542785855991
191,u10963,845,489,337,0,mobile,4,1,8640000000,0.578698224852071,0.07236882385354804,0.27490058425295727
192,u10964,1142,788,658,17,Unknown,418,1,10368000000,0.6900175131348512,0.11124716830955733,0.3427553062396749
193,u10965,11,5,4,0,mobile,0,0,0,0.45454545454545453,0.0009183860895120309,0.18236921347188903
194,u10966,7,7,0,0,web,0,0,0,1.0,0.0004285801751056144,0.4002571481050634
195,u10973,391,232,381,3,mobile,0,0,0,0.5933503836317136,0.047449947958121595,0.2658101222275584
196,u10974,16,6,7,0,mobile,0,0,0,0.375,0.0014081920039184473,0.1508449152023511
197,u10988,1655,1220,1643,3,mobile,4,0,0,0.7371601208459214,0.2021061654319476,0.4161277475975371
198,u10989,1,1,0,0,mobile,4,0,0,1.0,6.122573930080205e-05,0.4000367354435805
199,u10998,196,125,148,12,Unknown,91,1,8640000000,0.6377551020408163,0.021796363191085532,0.2681798587309778
200,u11007,27,13,19,0,web,6,0,0,0.48148148148148145,0.0028163840078368947,0.19428242299729473
201,u11013,31,17,21,0,mobile,0,1,8640000000,0.5483870967741935,0.003183738443641707,0.22126508177586246
202,u11049,0,0,0,18,Unknown,0,1,8640000000,,0.0011020633074144371,
203,u11059,472,302,483,18,web,2,0,0,0.6398305084745762,0.0595726443396804,0.29167578999363875
204,u11060,6,2,0,0,mobile,0,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
205,u11062,1000,720,332,3,Unknown,0,2,11232000000,0.72,0.08173636196657075,0.3370418171799424
206,u11064,160,102,168,2,Unknown,96,1,2592000000,0.6375,0.02020449396926468,0.26712269638155883
207,u11067,564,377,1084,30,mobile,713,1,4320000000,0.6684397163120568,0.10273679054674585,0.3290179608528703
208,u11071,307,177,306,10,mobile,4,0,0,0.5765472312703583,0.038143635584399684,0.2535050738587832
209,u11072,2129,1602,1799,90,Unknown,343,3,36288000000,0.7524659464537341,0.24600502051062267,0.4485893908878673
210,u11073,8,5,0,0,mobile,0,0,0,0.625,0.0004898059144064164,0.25029388354864385
211,u11075,339,176,328,9,mobile,11,0,0,0.5191740412979351,0.04138859976734219,0.23250277637957936
212,u11088,166,121,111,9,Unknown,0,1,15552000000,0.7289156626506024,0.01751056144002939,0.3020726019242586
213,u11089,6,2,3,11,mobile,0,1,12960000000,0.3333333333333333,0.0012245147860160412,0.13406804220494295
214,u11100,7,4,0,0,mobile,0,0,0,0.5714285714285714,0.0004285801751056144,0.22882857667649192
215,u11102,11,9,9,18,Unknown,13,1,8640000000,0.8181818181818182,0.0023265780934304784,0.3286686741287856
216,u11103,198,129,202,13,Unknown,7,1,10368000000,0.6515151515151515,0.02528623033123125,0.27577779880479936
217,u11104,494,399,523,18,mobile,0,0,0,0.8076923076923077,0.06336864017633013,0.3610981071827212
218,u11105,69,33,59,0,mobile,1,0,0,0.4782608695652174,0.007836894630502663,0.19600648460438855
219,u11106,1292,441,1106,10,mobile,93,1,8640000000,0.3413312693498452,0.14743158023633135,0.22499145588173688
220,u11110,7,0,0,0,mobile,0,0,0,0.0,0.0004285801751056144,0.0002571481050633686
221,u11111,3,1,0,0,mobile,0,0,0,0.3333333333333333,0.00018367721790240617,0.13344353966407477
222,u11112,27,13,33,1,mobile,0,1,8640000000,0.48148148148148145,0.0037347700973489255,0.19483345465100194
223,u11116,198,149,197,1,mobile,62,0,0,0.7525252525252525,0.024245392763117615,0.3155573366679716
224,u11172,6,2,0,0,web,0,1,8640000000,0.3333333333333333,0.00036735443580481234,0.13355374599481623
225,u11198,1489,1171,1482,1,mobile,10,0,0,0.7864338482202821,0.18196289720198372,0.42375127760930303
226,u11204,6,4,0,0,web,0,0,0,0.6666666666666666,0.00036735443580481234,0.26688707932814953
227,u11210,547,338,469,12,Unknown,176,1,4320000000,0.6179159049360147,0.06294006000122451,0.2849303979751406
228,u11238,3524,2043,2127,93,Unknown,1721,1,8640000000,0.5797389330306469,0.35168064654380704,0.442903961138543
229,u11239,12,9,5,0,mobile,3,0,0,0.75,0.0010408375681136349,0.3006245025408682
230,u11248,125,75,137,3,Unknown,0,1,2592000000,0.6,0.016224820914712546,0.24973489254882753
231,u11249,44,33,36,0,mobile,5,0,0,0.75,0.004898059144064165,0.3029388354864385
232,u11258,71,41,72,1,Unknown,25,1,15552000000,0.5774647887323944,0.008816506459315497,0.23627581936854708
233,u11259,87,39,36,1,Unknown,1,1,12960000000,0.4482758620689655,0.0075919916732994554,0.1838655398315659
234,u1126,256,171,123,3,mobile,0,1,2592000000,0.66796875,0.023388232412906385,0.28122043944774383
235,u11260,44,23,33,0,mobile,0,1,4320000000,0.5227272727272727,0.0047143819261617585,0.21191953824660617
236,u11262,1007,663,637,61,Unknown,715,1,8640000000,0.6583912611717975,0.10438988550786751,0.3259904357734395
237,u11263,226,156,209,3,mobile,1,0,0,0.6902654867256637,0.0268168738137513,0.2921963189785163
238,u11264,781,473,1096,7,web,580,1,8640000000,0.6056338028169014,0.11534929284271107,0.3114630968323872
239,u11265,10,5,0,0,web,9,0,0,0.5,0.0006122573930080206,0.20036735443580483
240,u1127,9,5,0,0,mobile,0,0,0,0.5555555555555556,0.0005510316537072186,0.22255284121444657
241,u11272,78,56,70,2,Unknown,0,1,4320000000,0.717948717948718,0.009183860895120308,0.2926898037165594
242,u11273,229,146,165,0,Unknown,0,1,4320000000,0.6375545851528385,0.02412294128451601,0.269495598831845
243,u11301,233,177,226,0,mobile,0,0,0,0.759656652360515,0.028102614339068143,0.32072422954764696
244,u11304,335,207,364,17,Unknown,126,1,8640000000,0.6179104477611941,0.043837629339374275,0.2734667567081022
245,u11306,67,41,64,26,mobile,32,1,2592000000,0.6119402985074627,0.009612441070225923,0.2505435840451206
246,u11312,65,39,65,1,mobile,0,1,4320000000,0.6,0.008020571848405069,0.24481234310904304
247,u11314,190,132,192,4,mobile,188,0,0,0.6947368421052632,0.023633135370109595,0.29207461806417107
248,u1132,71,46,64,1,mobile,0,2,11664000000,0.647887323943662,0.008326700544909079,0.2641509499044103
249,u11328,31,21,35,0,mobile,0,0,0,0.6774193548387096,0.004040898793852936,0.2733922812117956
250,u11329,10,8,0,0,web,0,0,0,0.8,0.0006122573930080206,0.3203673544358049
251,u1133,72,50,57,4,Unknown,0,1,5184000000,0.6944444444444444,0.008143023327006674,0.2826635917739818
252,u11364,16,9,8,0,mobile,0,0,0,0.5625,0.0014694177432192494,0.22588165064593155
253,u1140,14,12,14,9,Unknown,0,1,4320000000,0.8571428571428571,0.002265352354129676,0.34421635426962066
254,u11403,5328,3739,5453,31,Unknown,4078,2,24192000000,0.7017642642642643,0.6619726933202719,0.6778893216978689
255,u11416,3509,2617,3500,30,mobile,14,0,0,0.7457965232259903,0.4309679789383457,0.5568993966534036
256,u11417,42,26,34,0,mobile,0,0,0,0.6190476190476191,0.004653156186860957,0.2504109413311642
257,u1142,1213,679,977,49,Unknown,558,1,15552000000,0.5597691673536686,0.1370844302944958,0.30615832511816493
258,u1144,910,604,507,23,Unknown,346,1,4320000000,0.6637362637362637,0.08816506459315496,0.31839354425039845
259,u11448,6,2,0,0,web,0,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
260,u11449,7,2,1,0,Unknown,0,1,8640000000,0.2857142857142857,0.0004898059144064164,0.11457959783435813
261,u1145,5576,3345,3384,49,web,4754,2,17280000000,0.5998923959827833,0.5515826853609257,0.5709065696096688
262,u11459,138,77,130,0,mobile,0,0,0,0.5579710144927537,0.01640849813261495,0.23303350467667044
263,u1146,566,344,348,8,Unknown,168,1,4320000000,0.607773851590106,0.0564501316353395,0.2769796196172461
